account_id,account_name,segment,priority,status,website_url,contact_url,contact_method_summary,example_listing_url,example_listing_name,why_fit,caveats,next_action
ATH-001,UPSTREET,Central Athens furnished-apartment / corporate-housing operator,A,ready_to_contact,https://upstreet.io/,https://upstreet.io/contact-us/,"Contact page/footer: reservations@upstreet.io; +30 215 215 4529; WhatsApp +31 970 1020 4085.",https://upstreet.io/apartment/zeus-temple-view-2bd-apartment-acropolis-plaka/,Zeus Temple view 2BD Apartment Acropolis – Plaka,"Strong central Athens inventory; prior listing-level scoring found 19 qualified UPSTREET-style leads. Best for testing operator pitch.","Many candidate listings belong to same account; count UPSTREET as one account-level test, not multiple lead tests.",Send permission-first agency/operator message with one listing micro-audit
ATH-002,Cloudkeys,Athens furnished-apartment operator + property-management service,A,ready_to_contact,https://thecloudkeys.com/en/,https://thecloudkeys.com/en/contact/,"Contact page: info@thecloudkeys.com; Falirou 85 Athens; +30 694 77 99 100.",https://thecloudkeys.com/en/athens-rentals/exceptional-acropolis-suite/,Exceptional Acropolis Suite,"Short-term rental/property-management angle is explicit; has Athens accommodation inventory and central-area pages.","Broader travel/business services; keep pitch focused on apartment listing presentation.",Send permission-first operator message referencing Acropolis/Plaka listing presentation
ATH-003,My Greek Vacations,Athens vacation-rental / furnished-apartment operator,A,ready_to_contact,https://mygreekvacations.com/,https://mygreekvacations.com/contact-us/,"Contact route plus Aiolou 72 Athens; +30 210 721 4834; submit-a-property page.",https://booking.mygreekvacations.com/rentals/apartment-athens-upscale-4-bedrooms-luxury-apartment-in-kolonaki-417590.html,Upscale 4 Bedrooms Luxury Apartment in Kolonaki,"Large visible Athens inventory and property-management navigation; likely understands OTA/direct-booking value.","Portfolio includes non-Athens/villas; filter to Athens apartment listings.",Send operator message with 1-listing free micro-audit offer
ATH-004,Athens BnB Stays and Property Management,Small Athens STR/property-management account,A,ready_to_contact,https://athensbnbstays.com/,https://athensbnbstays.com/contact/,"Contact page: martingarnham@aol.com; (+30) 6942978337; social links.",https://athensbnbstays.com/are-you-looking-for-quality-vacation-stays/,Brand new 1 bedroom apartment in Koukaki,"Small operator; website says short-term letting on Booking.com, Airbnb, and VRBO; likely more personal and reachable.","Inventory depth less clear; use a lightweight non-pushy message.",Send more personal founder-style permission-first message
ATH-005,ArisHost,Airbnb-focused Athens property-management operator,A,ready_to_contact,https://www.arishost.gr/en/,https://www.arishost.gr/en/contact/,"Contact page/form-of-interest; footer lists info@arishost.gr.",https://www.arishost.gr/en/portofolio/,Ten Minutes to Acropolis / Stylish Base with Dreamy Patio,"Explicit Airbnb management positioning; central Athens areas listed: Acropolis, Plaka, Syntagma, Monastiraki, Koukaki.","Portfolio links to Airbnb; do not scrape Airbnb. Use operator portfolio page only.",Send Airbnb-manager-specific message
ATH-006,IVY Vacation Rentals / IVY Hospitality Management IKE,Greece vacation-rental operator with Athens apartment portfolio,A,ready_to_contact,https://www.ivyvacationrentals.com/,https://www.ivyvacationrentals.com/contact-us,"Contact page: reservations@ivyvacationrentals.com; 2103238324; Aristidou 8 Athens.",https://www.ivyvacationrentals.com/listings/483217,Luxury 3BR Apartment in the Heart of the City,"Handpicked Athens stays; direct listings; property-management arm. Good fit for per-listing upgrade or small batch pilot.","Also has island/villa inventory; reference Athens city apartment subset.",Send property-manager batch-test message
ATH-007,Homz Short Term Rentals,Athens short-term-rental apartment/studio operator,A,ready_to_contact,https://www.homz.gr/,https://www.homz.gr/contact,"Footer/contact: info@homz.gr; +30 210 6461504; WhatsApp +30 6944658365; Neapoli Athens address.",https://properties.homz.gr/en/properties/5e60d84c793e550048237162?city=Athens&country=Greece&minOccupancy=1,#AH01 Elevated ground floor studio,"Athens Homz city-center studios/apartments; clear contact routes; likely direct-booking/OTA operator.","Dynamic listing subdomain; verify exact listing before sending preview.",Send concise preview-permission message
ATH-008,Live in Athens,Boutique short-stay apartment operator in Psyrri,A,ready_to_contact,https://liveinathens.net/,https://liveinathens.net/contact/,"Contact page: info@liveinathens.net; +30 211 401 0924; Agion Anargiron 5 Athens.",https://liveinathens.net/apartment/apartment-08/,Green Green! #08,"Boutique short-stay apartments with individual apartment pages; strong story/visual-positioning angle.","Direct-site operator; not confirmed Airbnb account. Pitch as listing/direct-booking presentation.",Send boutique-operator message focused on first-impression clarity
ATH-009,Bill & John,Homes/villas/apartments management company with Athens Center inventory,A,ready_to_contact,https://billandjohn.com/,https://billandjohn.com/contact-us/,"Contact page: info@billandjohn.gr; sales@billandjohn.gr; +30 69488 25868.",https://billandjohn.com/accommodation/apartment-complex/apartment-athens-center/acropolis-cozy-suites/,Acropolis Cozy Suites,"Professional management company with Athens Center inventory; can understand batch economics.","Larger/professional; one-off $300 may be less compelling than pilot/batch framing.",Send property-manager message with one-listing pilot angle
ATH-010,Athens Mosaico Luxury Suites & Apartments,Serviced apartment / aparthotel operator,B,ready_to_contact,https://athensmosaico.com/,https://athensmosaico.com/,"Homepage/room pages list contact@athensmosaico.com and +30 698 202 0222.",https://athensmosaico.com/room/one-bedroom-apartment/,One-Bedroom Apartment,"Serviced apartments with direct room pages; good for copy/photo sequencing improvements.","Aparthotel-like; may already have hospitality marketing process.",Send direct-booking presentation message
